ID,Name,Website,Logo
1,Center for Cognitive Neuroscience,https://www.dartmouth.edu/~ccn/,ccn_transparent_background.png
2,Neukom Institute,http://neukom.dartmouth.edu/,neukom.png
3,Dartmouth Research Computing,http://rc.dartmouth.edu/,Research_Computing_Logos_nobg.png
4,National Science Foundation,https://www.nsf.gov/,nsf.png
5,Center for Social Brain Sciences,https://sbs.dartmouth.edu/,
