ID,First,Last,Institution,Website,Picture
1,Tor,Wager,Dartmouth College,https://sites.dartmouth.edu/canlab/,wager.jpg
2,Dan,Rockmore,Dartmouth College,http://www.cs.dartmouth.edu/~rockmore/,rockmore.jpg
3,Thalia,Wheatley,Dartmouth College,http://www.wheatlab.com/,wheatley.jpg
